,District
0,Bela Vista
1,Raposo Tavares
2,Guaianazes
3,Bom Retiro
4,Vila Jacuí
5,Ipiranga
6,Brooklin
7,Mandaqui
8,Cambuci
9,Vila Andrade
10,Mooca
11,Sapopemba
12,Limão
13,Vila Matilde
14,Vila Prudente
15,Itaquera
16,Lapa
17,Penha
18,Ermelino Matarazzo
19,Moema
20,Casa Verde
21,Socorro
22,Santana
23,São Lucas
24,Santo Amaro
25,Campo Limpo
26,Itaim Bibi
27,São Miguel
28,Vila Madalena
29,Vila Maria
30,Cidade Líder
31,Jaraguá
32,Tremembé
33,Campo Grande
34,Brás
35,Barra Funda
36,São Mateus
37,Cidade Ademar
38,Sacomã
39,Rio Pequeno
40,Cidade Dutra
41,Vila Sônia
42,Cangaíba
43,Vila Leopoldina
44,José Bonifácio
45,Cidade Tiradentes
46,Carrão
47,Aricanduva
48,Vila Olimpia
49,Morumbi
50,Saúde
51,Anhanguera
52,Tatuapé
53,Butantã
54,Pirituba
55,Pari
56,República
57,Lajeado
58,São Rafael
59,Jardim Helena
60,Tucuruvi
61,Vila Mariana
62,Jardim Ângela
63,Alto de Pinheiros
64,Consolação
65,Vila Formosa
66,Santa Cecília
67,Artur Alvim
68,Jardim Paulista
69,Jaguaré
70,Freguesia do Ó
71,Pinheiros
72,Itaim Paulista
73,Vila Curuçá
74,Campo Belo
75,Parque do Carmo
76,Cursino
77,Jaçanã
78,Liberdade
79,Ponte Rasa
80,Belém
81,Brasilândia
82,Cachoeirinha
83,Perdizes
84,Perus
85,Pedreira
86,Vila Guilherme
87,Sé
88,Jardim São Luis
89,São Domingos
90,Água Rasa
91,Jabaquara
92,Medeiros
93,Grajaú
94,Capão Redondo
95,Iguatemi
