Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Property Type,Latitude,Longitude,Subway Station,Dist2Subway
930,220,47,2,2,1,1,0,0,0,0,Artur Alvim,rent,apartment,-23.543138,-46.479486,Artur Alvim,0.6219925770975208
1000,148,45,2,2,1,1,0,0,0,0,Artur Alvim,rent,apartment,-23.550239,-46.480717999999996,Artur Alvim,1.1795138078493466
1000,100,48,2,2,1,1,0,0,0,0,Artur Alvim,rent,apartment,-23.542818,-46.485665000000004,Artur Alvim,0.3014349996421623
1000,200,48,2,2,1,1,0,0,0,0,Artur Alvim,rent,apartment,-23.547171,-46.483014000000004,Artur Alvim,0.7864177434424985
1300,410,55,2,2,1,1,1,0,0,0,Artur Alvim,rent,apartment,-23.525025,-46.482436,Artur Alvim,1.7013743629777816
1170,0,50,2,2,1,1,0,0,0,0,Artur Alvim,rent,apartment,-23.548751,-46.477195,Corinthians Itaquera,0.9404423614249374
1000,180,52,1,2,1,1,1,0,0,0,Artur Alvim,rent,apartment,-23.54984,-46.484137,Artur Alvim,1.0643839146258993
900,150,40,2,2,1,1,0,0,0,0,Artur Alvim,rent,apartment,-23.53974,-46.492670000000004,Artur Alvim,0.8150869049159974
1000,0,65,2,2,1,1,0,0,0,0,Artur Alvim,rent,apartment,-23.548751,-46.477195,Corinthians Itaquera,0.9404423614249374
1000,0,100,2,2,1,1,0,0,0,0,Artur Alvim,rent,apartment,-23.548751,-46.477195,Corinthians Itaquera,0.9404423614249374
760,160,38,2,2,1,1,0,0,0,0,Artur Alvim,rent,apartment,-23.55185,-46.491169,Artur Alvim,1.4448902760009912
800,150,48,2,2,1,1,0,0,0,0,Artur Alvim,rent,apartment,-23.545761,-46.479509,Artur Alvim,0.8093179531742206
900,130,56,2,2,1,1,0,0,0,0,Artur Alvim,rent,apartment,-23.552073,-46.483411,Artur Alvim,1.3167630208695222
1000,200,56,2,2,1,1,0,0,0,0,Artur Alvim,rent,apartment,-23.541366,-46.483726000000004,Artur Alvim,0.159582240843108
1800,418,54,2,2,1,1,1,0,1,0,Belém,rent,apartment,-23.543955,-46.586619,Belem,0.3285960911017129
1600,416,45,2,2,1,1,0,0,0,0,Belém,rent,apartment,-23.544698,-46.602114,Bresser Mooca,0.5463631513418822
1500,337,55,2,2,1,1,1,0,0,0,Belém,rent,apartment,-23.546104,-46.594578999999996,Belem,0.6205227074592246
1600,306,43,2,2,1,1,1,0,0,0,Belém,rent,apartment,-23.534606,-46.595084,Belem,1.0723393469820526
1600,150,80,2,2,1,1,1,0,0,0,Belém,rent,apartment,-23.539620000000003,-46.596337,Belem,0.7751241037466379
1600,420,46,2,2,1,1,0,0,0,0,Belém,rent,apartment,-23.544698,-46.602114,Bresser Mooca,0.5463631513418822
1900,800,67,3,2,1,1,1,1,0,0,Belém,rent,apartment,-23.53838,-46.589441,Belem,0.497791358739609
2500,720,68,3,2,1,1,0,0,1,0,Belém,rent,apartment,-23.538163,-46.591505,Belem,0.5560701549689988
1400,743,63,2,2,1,1,0,0,1,0,Belém,rent,apartment,-23.540023,-46.586898,Belem,0.4201353274872688
1800,530,59,3,2,1,1,0,0,0,0,Belém,rent,apartment,-23.544698,-46.602114,Bresser Mooca,0.5463631513418822
1500,2893,230,3,2,1,2,0,0,0,0,Belém,rent,apartment,-23.540212,-46.585702000000005,Belem,0.49640499963304285
2300,857,113,3,2,1,2,1,0,0,0,Belém,rent,apartment,-23.538134,-46.594059,Belem,0.6937165792429031
2250,530,68,2,2,1,1,0,0,1,0,Belém,rent,apartment,-23.538163,-46.591505,Belem,0.5560701549689988
1700,445,65,2,2,1,1,0,0,1,0,Belém,rent,apartment,-23.532871,-46.601244,Bresser Mooca,1.611192719568848
1726,290,55,2,2,1,1,1,0,1,0,Belém,rent,apartment,-23.534606,-46.595084,Belem,1.0723393469820526
1700,450,50,1,2,1,1,1,0,1,0,Belém,rent,apartment,-23.546089000000002,-46.590325,Belem,0.36361062906302366
1600,300,48,2,2,1,1,1,0,0,0,Belém,rent,apartment,-23.546104,-46.594578999999996,Belem,0.6205227074592246
810,140,36,1,2,1,1,0,0,0,0,Belém,rent,apartment,-23.538794,-46.605664000000004,Bresser Mooca,0.8516738847778161
3000,811,107,3,3,1,2,1,0,1,0,Belém,rent,apartment,-23.538767,-46.594706,Belem,0.6905842340149281
6000,800,150,3,4,3,2,1,1,0,0,Belém,rent,apartment,-23.550987,-46.590908,Belem,0.9084170230520975
1750,760,60,3,2,1,1,0,0,0,0,Belém,rent,apartment,-23.53838,-46.589441,Belem,0.497791358739609
